id,parent,label,value,color
u_pad_top,dma_reg_top_i,Pad Top,245.2352,blue
clk_gate_q_reg_8,u_pad_top,Clk Gate Q Reg,20.0192,blue
wr_en_data_arb_14,u_pad_top,Wr En Data Arb,37.536,blue
u_sign_ext,dma_reg_top_i,Sign Ext,76.3232,blue
wr_en_data_arb_15,u_sign_ext,Wr En Data Arb,6.256,blue
u_size_d1,dma_reg_top_i,Size D1,570.5472,blue
clk_gate_q_reg_9,u_size_d1,Clk Gate Q Reg,20.0192,blue
wr_en_data_arb_16,u_size_d1,Wr En Data Arb,100.096,blue
u_size_d2,dma_reg_top_i,Size D2,571.7984,blue
clk_gate_q_reg_10,u_size_d2,Clk Gate Q Reg,20.0192,blue
wr_en_data_arb_17,u_size_d2,Wr En Data Arb,100.096,blue
u_slot_rx_trigger_slot,dma_reg_top_i,Slot Rx Trigger Slot,574.3008,blue
clk_gate_q_reg_11,u_slot_rx_trigger_slot,Clk Gate Q Reg,20.0192,blue
wr_en_data_arb_18,u_slot_rx_trigger_slot,Wr En Data Arb,100.096,blue
u_slot_tx_trigger_slot,dma_reg_top_i,Slot Tx Trigger Slot,571.7984,blue
clk_gate_q_reg_12,u_slot_tx_trigger_slot,Clk Gate Q Reg,20.0192,blue
wr_en_data_arb_19,u_slot_tx_trigger_slot,Wr En Data Arb,100.096,blue
u_src_data_type,dma_reg_top_i,Src Data Type,122.6176,blue
wr_en_data_arb_20,u_src_data_type,Wr En Data Arb,12.512,blue
u_src_ptr,dma_reg_top_i,Src Ptr,1098.5536,blue
clk_gate_q_reg_13,u_src_ptr,Clk Gate Q Reg,20.0192,blue
wr_en_data_arb_21,u_src_ptr,Wr En Data Arb,200.192,blue
u_src_ptr_inc_d1,dma_reg_top_i,Src Ptr Inc D1,245.2352,blue
clk_gate_q_reg_14,u_src_ptr_inc_d1,Clk Gate Q Reg,20.0192,blue
wr_en_data_arb_22,u_src_ptr_inc_d1,Wr En Data Arb,37.536,blue
u_src_ptr_inc_d2,dma_reg_top_i,Src Ptr Inc D2,798.2656,blue
clk_gate_q_reg_15,u_src_ptr_inc_d2,Clk Gate Q Reg,20.0192,blue
wr_en_data_arb_23,u_src_ptr_inc_d2,Wr En Data Arb,143.888,blue
u_status_ready_1,dma_reg_top_i,Status Ready,0.0,blue
u_status_window_done,dma_reg_top_i,Status Window Done,0.0,blue
u_transaction_ifr,dma_reg_top_i,Transaction Ifr,0.0,blue
u_window_count,dma_reg_top_i,Window Count,232.7232,blue
clk_gate_q_reg_16,u_window_count,Clk Gate Q Reg,20.0192,blue
wr_en_data_arb_24,u_window_count,Wr En Data Arb,0.0,blue
u_window_ifr,dma_reg_top_i,Window Ifr,0.0,blue
u_window_size,dma_reg_top_i,Window Size,476.7072,blue
clk_gate_q_reg_17,u_window_size,Clk Gate Q Reg,20.0192,blue
wr_en_data_arb_25,u_window_size,Wr En Data Arb,81.328,blue
dma_write_fifo_i,dma_i_gen_0__dma_i,Dma Write Fifo,4734.5408,blue
clk_gate_mem_q_reg_0__3,dma_write_fifo_i,Clk Gate Mem Q Reg 0 ,20.0192,blue
clk_gate_mem_q_reg_1__3,dma_write_fifo_i,Clk Gate Mem Q Reg 1 ,20.0192,blue
clk_gate_mem_q_reg_2__3,dma_write_fifo_i,Clk Gate Mem Q Reg 2 ,20.0192,blue
clk_gate_mem_q_reg_3__3,dma_write_fifo_i,Clk Gate Mem Q Reg 3 ,20.0192,blue
clk_gate_status_cnt_q_reg_3,dma_write_fifo_i,Clk Gate Status Cnt Q Reg,20.0192,blue
fast_intr_ctrl_i,ao_peripheral_subsystem_i,Fast Intr Ctrl,1981.9008,blue
fast_intr_ctrl_reg_top_i,fast_intr_ctrl_i,Fast Intr Ctrl Reg Top,1801.728,blue
u_fast_intr_clear,fast_intr_ctrl_reg_top_i,Fast Intr Clear,548.0256,blue
clk_gate_q_reg_18,u_fast_intr_clear,Clk Gate Q Reg,20.0192,blue
wr_en_data_arb_26,u_fast_intr_clear,Wr En Data Arb,100.096,blue
u_fast_intr_enable,fast_intr_ctrl_reg_top_i,Fast Intr Enable,556.784,blue
clk_gate_q_reg_19,u_fast_intr_enable,Clk Gate Q Reg,20.0192,blue
wr_en_data_arb_27,u_fast_intr_enable,Wr En Data Arb,93.84,blue
u_fast_intr_pending,fast_intr_ctrl_reg_top_i,Fast Intr Pending,365.3504,blue
clk_gate_q_reg_20,u_fast_intr_pending,Clk Gate Q Reg,20.0192,blue
wr_en_data_arb_28,u_fast_intr_pending,Wr En Data Arb,0.0,blue
genblk3_reg_mux_i,ao_peripheral_subsystem_i,Genblk3 Reg Mux,543.0208,blue
i_stream_arbiter,genblk3_reg_mux_i,I Stream Arbiter,539.2672,blue
i_arb,i_stream_arbiter,I Arb,535.5136,blue
gen_rr_arb_i_arbiter,i_arb,Gen Rr Arb I Arbiter,531.76,blue
gen_arbiter_gen_int_rr_gen_fair_arb_i_lzc_lower_1,gen_rr_arb_i_arbiter,Gen Arbiter Gen Int Rr Gen Fair Arb I Lzc Lower,3.7536,blue
gpio_ao_i,ao_peripheral_subsystem_i,Gpio Ao,38921.0781,blue
gen_gpios_0__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,117.6128,blue
i_clk_gate_1,gen_gpios_0__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_2,i_clk_gate_1,Clk Gating,18.768,blue
i_sync_1,gen_gpios_0__i_sync_gpio_input_1,I Sync,52.5504,blue
gen_gpios_10__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_2,gen_gpios_10__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_3,i_clk_gate_2,Clk Gating,18.768,blue
gen_gpios_11__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_3,gen_gpios_11__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_4,i_clk_gate_3,Clk Gating,18.768,blue
gen_gpios_12__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_4,gen_gpios_12__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_5,i_clk_gate_4,Clk Gating,18.768,blue
gen_gpios_13__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_5,gen_gpios_13__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_6,i_clk_gate_5,Clk Gating,18.768,blue
gen_gpios_14__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_6,gen_gpios_14__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_7,i_clk_gate_6,Clk Gating,18.768,blue
gen_gpios_15__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_7,gen_gpios_15__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_8,i_clk_gate_7,Clk Gating,18.768,blue
gen_gpios_16__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_8,gen_gpios_16__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_9,i_clk_gate_8,Clk Gating,18.768,blue
gen_gpios_17__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_9,gen_gpios_17__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_10,i_clk_gate_9,Clk Gating,18.768,blue
gen_gpios_18__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_10,gen_gpios_18__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_11,i_clk_gate_10,Clk Gating,18.768,blue
gen_gpios_19__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_11,gen_gpios_19__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_12,i_clk_gate_11,Clk Gating,18.768,blue
gen_gpios_1__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,117.6128,blue
i_clk_gate_12,gen_gpios_1__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_13,i_clk_gate_12,Clk Gating,18.768,blue
i_sync_2,gen_gpios_1__i_sync_gpio_input_1,I Sync,52.5504,blue
gen_gpios_20__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_13,gen_gpios_20__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_14,i_clk_gate_13,Clk Gating,18.768,blue
gen_gpios_21__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_14,gen_gpios_21__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_15,i_clk_gate_14,Clk Gating,18.768,blue
gen_gpios_22__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_15,gen_gpios_22__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_16,i_clk_gate_15,Clk Gating,18.768,blue
gen_gpios_23__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_16,gen_gpios_23__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_17,i_clk_gate_16,Clk Gating,18.768,blue
gen_gpios_24__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_17,gen_gpios_24__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
clk_gating_i_18,i_clk_gate_17,Clk Gating,18.768,blue
gen_gpios_25__i_sync_gpio_input_1,gpio_ao_i,I Sync Gpio Input,26.2752,blue
i_clk_gate_18,gen_gpios_25__i_sync_gpio_input_1,I Clk Gate,22.5216,blue
